asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3054338,(2000 SZ162),27.3,9.216265485,20.6081961232,5.915807471,30699479.60677089,2026-03-19
3655975,(2014 AF51),20.54,207.2788433771,463.4895840887,8.942127028,17440362.212666843,2026-03-19
3788080,(2017 UN7),25.7,19.2555078188,43.0566244241,4.8728168866,39127087.3416939,2026-03-19
3789225,(2017 VR12),20.66,196.1349443683,438.5710683707,6.4447591411,8006665.209174518,2026-03-19
54016233,(2020 FP1),23.45,54.2693945693,121.3500553547,25.961318802,35279592.02010881,2026-03-19
54249330,(2022 EQ2),24.07,40.7901194028,91.209479795,7.563232297,64513404.20794251,2026-03-19
54402642,(2023 VC2),26.97,10.7288945451,23.9905375262,12.1019499446,59184949.01963671,2026-03-19
54430150,(2024 ES2),26.4,13.9493822934,31.1917670523,9.5214132213,15250244.653614365,2026-03-19
54579526,(2026 BR7),22.33,90.8981358201,203.2544107219,7.3561463108,17408938.387204632,2026-03-19
54604544,(2026 DP15),25.92,17.4002295067,38.9080960011,7.64818854,1990076.394312717,2026-03-19
2879537,879537 (2014 AF51),20.46,215.0576900016,480.8836139277,8.9421272007,17440362.407144073,2026-03-19
2884793,884793 (2017 VR12),20.58,203.495578117,455.0299457903,6.4447597513,8006672.015877603,2026-03-19
54606256,(2026 DV17),26.83,11.4433973069,25.5882142717,4.9373096233,874595.957193523,2026-03-19
54606258,(2026 EF2),27.3,9.216265485,20.6081961232,5.8867052123,1772790.439827214,2026-03-19
54606322,(2026 EO2),24.061,40.9595311343,91.5882959428,8.2126466894,7219253.858391692,2026-03-19
54606358,(2026 ED3),23.389,55.815520186,124.8072973354,19.1429988222,3065570.92147812,2026-03-19
54606361,(2026 EF3),24.5,33.4622374455,74.8238376074,7.3578512342,4162515.778590065,2026-03-19
54606360,(2026 EG3),24.256,37.4416497743,83.722074085,13.9028339499,14248155.542330125,2026-03-19
54606429,(2026 FA),28.645,4.9608372182,11.0927692453,7.3406323904,649680.227102067,2026-03-19
