asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3256319,(2004 TB10),21.5,133.2155666981,297.8790627982,17.2828825237,69328739.73437361,2026-03-18
3703545,(2015 AJ44),22.4,88.0146520901,196.8067450894,15.9170977702,16216668.271349989,2026-03-18
3748418,(2016 FL12),26.3,14.6067964271,32.6617897446,17.2877966834,62248817.098480195,2026-03-18
3771018,(2017 EZ2),25.1,25.3837029364,56.7596852866,12.5864772253,41144422.906365894,2026-03-18
54123252,(2021 DJ),24.84,28.6124453783,63.9793728683,9.398373843,28086626.30726202,2026-03-18
54132075,(2021 FS),27.93,6.8953287445,15.4184237999,7.2098118715,6963808.913060412,2026-03-18
54340273,(2023 BV5),27.84,7.1871213318,16.0708918604,14.5508471827,55968027.5095941,2026-03-18
54390828,(2023 TY),29.15,3.9314700958,8.7910343856,23.4370025099,51798508.24688084,2026-03-18
54397455,(2023 UR3),26.27,14.8099972066,33.1161605006,10.4707268225,20222439.695212923,2026-03-18
54604360,(2026 DB11),25.86,17.887719524,39.9981568182,8.3725381196,13528883.07425426,2026-03-18
54604524,(2026 DV14),25.29,23.2570687455,52.0043866724,3.8241695825,10335634.15555725,2026-03-18
54606433,(2026 FB),26.041,16.4571632264,36.7993356911,16.6489077143,1098690.43985804,2026-03-18
