asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3306408,(2005 XY4),23.5,53.0340723319,118.5877908577,16.3278497408,16402683.43899429,2026-03-28
3409707,(2008 HU4),28.3,5.8150703965,13.0028927004,4.6996847458,19274105.60151557,2026-03-28
3710920,(2015 DS53),24.2,38.4197891064,85.9092601232,8.3126736943,35831300.87142404,2026-03-28
3749034,(2016 GN2),25.0,26.58,59.4346868419,5.9346021484,15375804.838667026,2026-03-28
3752457,(2016 HP6),25.4,22.1082810359,49.435619262,16.1118453466,53555909.25462541,2026-03-28
3771023,(2017 EC3),22.5,84.0533402073,187.9489824394,5.7977106207,47593104.25494047,2026-03-28
54016204,(2020 FM),24.1,40.2304579834,89.9580388169,11.2013919433,53105137.57182955,2026-03-28
54133137,(2021 FJ3),23.51,52.7904029034,118.0429294515,26.9899501867,70556826.54234408,2026-03-28
54219796,(2021 VP12),24.61,31.8093633221,71.1278987093,17.2906156518,72101174.09334013,2026-03-28
54416963,(2023 XV14),22.86,71.2122940737,159.2355303825,4.0568464228,65387764.339053765,2026-03-28
54554175,(2025 UP4),25.28,23.3644184974,52.2444280149,8.5807569296,21595856.046756554,2026-03-28
54605665,(2026 DK16),21.7,121.4940407996,271.6689340891,17.8938180561,23539800.422304824,2026-03-28
54606301,(2026 EG2),23.458,54.0698265746,120.9038077524,16.3684340349,16438174.097512238,2026-03-28
54606544,(2026 FR2),25.642,19.7767524134,44.2221627705,11.6323953376,6919572.149710997,2026-03-28
54606547,(2026 FU2),27.634,7.9023266304,17.6701395261,13.15691943,922455.47232158,2026-03-28
54606827,(2026 FL4),26.986,10.6501316582,23.814418357,19.2882431454,1861403.421660458,2026-03-28
54606889,(2026 FY4),25.918,17.4162630929,38.9439481898,6.1581387414,8780950.693245674,2026-03-28
54606912,(2026 FX5),26.903,11.0650906602,24.7422948934,12.162649142,2940132.449252492,2026-03-28
54606978,(2026 FK6),25.227,23.9416995593,53.5352677115,6.7123149882,14581339.050726479,2026-03-28
54607103,(2026 FO8),26.597,12.7395760764,28.4865581114,7.7915465789,4102556.264143863,2026-03-28
