asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3467709,(2009 SW19),19.61,318.0936332215,711.2789870931,34.4175440639,18277149.656904425,2026-03-27
3633188,(2013 FW13),21.67,123.1841912659,275.4482254239,19.7564637028,25685773.35533602,2026-03-27
3666685,(2014 FO38),26.35,14.2743051475,31.9183166414,20.1384864144,52960371.83270884,2026-03-27
3878616,(2019 TH5),24.7,30.5179232594,68.2401509401,10.9253300958,65094531.5252726,2026-03-27
3989190,(2020 BL8),25.71,19.1670367967,42.8587972046,11.4238122509,39722840.66325645,2026-03-27
54016356,(2020 FL4),26.96,10.7784168722,24.1012728161,6.9671312372,16336614.73649175,2026-03-27
54104721,(2021 AC2),27.89,7.023522477,15.7050737,18.3326676223,55939958.595884085,2026-03-27
54207054,(2021 TX9),25.27,23.4722637531,52.4855773378,21.6928977981,68975484.8592768,2026-03-27
54264238,(2022 FE1),26.3,14.6067964271,32.6617897446,10.3637739968,33731945.82111948,2026-03-27
54351720,(2023 FH3),25.26,23.5806068,52.7278397554,3.9835333074,25064269.094179746,2026-03-27
54524634,(2025 FN7),30.73,1.8991312347,4.246586539,11.3885432577,20574914.04342301,2026-03-27
2837253,837253 (2013 FW13),21.67,123.1841912659,275.4482254239,19.7564637345,25685773.534853466,2026-03-27
54604293,(2026 DT10),22.43,86.8070457914,194.1064553155,20.6596906407,26031946.86565851,2026-03-27
54606562,(2026 FA3),26.599,12.7278478951,28.4603331007,13.7692702779,2868404.638845296,2026-03-27
