asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3154493,(2003 JV14),21.39,140.1376971662,313.3574170739,11.3768953995,30405998.31092766,2026-04-02
3774010,(2017 HB1),26.3,14.6067964271,32.6617897446,16.1037245648,45898247.79787591,2026-04-02
3831725,(2018 TS4),27.6,8.0270316728,17.948988478,3.6655613182,28291291.94607773,2026-04-02
3840710,(2019 FH1),25.29,23.2570687455,52.0043866724,4.3418882086,10132004.122956403,2026-04-02
54135787,(2021 GD5),27.2,9.6506146958,21.5794304844,19.0865609708,61235590.246257015,2026-04-02
54265625,(2022 FK1),26.47,13.5068779833,30.2022973344,23.1834934637,72442034.05187787,2026-04-02
54606545,(2026 FS2),24.225,37.9800014172,84.9258649545,12.8562988168,9712254.326065635,2026-04-02
54606736,(2026 FD4),27.754,7.477475119,16.7201426661,5.9878323092,3046750.297689373,2026-04-02
54606832,(2026 FR4),27.294,9.2417661819,20.665217415,6.8230025559,5355877.345544443,2026-04-02
54606985,(2026 FR6),25.804,18.3550248414,41.043083274,17.0576028657,5858507.668528137,2026-04-02
54607105,(2026 FQ8),25.921,17.3922182497,38.8901822858,8.0818271778,3083591.211622154,2026-04-02
