asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3745999,(2016 ES84),20.31,230.4384665765,515.2760758959,34.0227326455,65182199.467441484,2026-04-01
3802103,(2018 FK5),28.3,5.8150703965,13.0028927004,10.0304684453,7889940.81287639,2026-04-01
3802440,(2018 GA2),23.44,54.5198907132,121.9101817605,18.1494878374,46520045.86924887,2026-04-01
3840893,(2019 GC6),26.5,13.3215566698,29.7879062798,13.516621665,41537106.45431054,2026-04-01
54134665,(2021 GN1),26.42,13.8214935879,30.905799213,13.7680773012,13954266.801728163,2026-04-01
54143556,(2021 JR1),23.36,56.5659358422,126.4852777541,13.7794276249,48043894.17371669,2026-04-01
54265894,(2022 FF3),27.77,7.42258153,16.5973968696,13.9016240779,41451450.797970384,2026-04-01
54496016,(2024 UT4),27.6,8.0270316728,17.948988478,6.1501394415,23678853.003810443,2026-04-01
54606506,(2026 FL1),25.381,22.3025733618,49.8700701102,8.2625102071,8571952.026924348,2026-04-01
54606828,(2026 FM4),25.728,19.0088120498,42.504995915,9.9467460355,8628520.382054456,2026-04-01
54606830,(2026 FP4),25.72,19.078972262,42.6618789186,8.3070940182,8794458.842354342,2026-04-01
54606910,(2026 FV5),27.301,9.212022215,20.5987078831,5.567980158,4493955.185259237,2026-04-01
54607051,(2026 FC7),25.857,17.9124494007,40.0534545035,10.9978582695,7292866.99091535,2026-04-01
54607055,(2026 FH7),26.804,11.5812377318,25.8964348318,8.2703595398,719202.755468445,2026-04-01
54607235,(2026 FE9),25.586,20.2934075158,45.3774387004,14.8033831363,10161944.820175646,2026-04-01
54607424,(2026 FR12),22.898,69.9769447007,156.4732052086,16.043367616,16701404.265596189,2026-04-01
