asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3608730,(2012 SA3),22.18,97.3991073414,217.7910249632,14.6067645328,22550593.25840522,2026-03-31
3634127,(2013 GF),21.39,140.1376971662,313.3574170739,12.3335557861,26001304.2851528,2026-03-31
3729536,(2015 TX143),19.74,299.6090838515,669.9462781683,13.7849198213,17082741.48829174,2026-03-31
3752788,(2016 JF6),24.1,40.2304579834,89.9580388169,8.8108062558,44706914.628440864,2026-03-31
3773835,(2017 GR5),24.8,29.1443904535,65.1688382168,1.9496574804,26080755.13047811,2026-03-31
3802067,(2018 FB4),27.5,8.4053340207,18.7948982439,23.5893423552,53340623.34886287,2026-03-31
54111269,(2021 CM4),27.6,8.0270316728,17.948988478,11.588318894,46808073.470022745,2026-03-31
54132108,(2021 FY),21.82,114.9621762891,257.0632410238,22.9595536583,58858427.478386134,2026-03-31
54300839,(2022 RW),23.42,55.0243570509,123.038202784,15.4485872089,51320446.23248937,2026-03-31
2674942,674942 (2015 TX143),19.72,302.3813325719,676.1452147577,13.7849210177,17082738.137299452,2026-03-31
54606455,(2026 FJ),27.442,8.6328655387,19.3036741852,2.2194144796,2965678.993276439,2026-03-31
54606674,(2026 FV3),25.937,17.2645386166,38.6046819468,11.1429477864,4192892.134726323,2026-03-31
54606833,(2026 FS4),25.038,26.1189056516,58.4036485349,6.7976883827,28264211.500293735,2026-03-31
54606909,(2026 FU5),23.099,63.7903487656,142.6395561483,20.7156408324,27040283.333591823,2026-03-31
54607048,(2026 FZ6),26.941,10.8731399165,24.3130799822,7.1831511605,3991478.544167394,2026-03-31
