asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
2413989,413989 (2007 EL88),19.07,407.9011940281,912.0947979501,30.8847431511,49819247.58409189,2026-03-29
3515692,(2010 GD35),24.62,31.6632125734,70.8010957001,13.964854448,12123680.735764936,2026-03-29
3715092,(2015 FW284),24.9,27.8326768072,62.2357573367,20.6614402497,27184487.347670462,2026-03-29
3771582,(2017 FN),22.5,84.0533402073,187.9489824394,11.0449688401,71043737.3156254,2026-03-29
3797752,(2018 BU1),24.6,31.9561886721,71.4562101727,9.2039869756,25070596.650246922,2026-03-29
3841184,(2019 GW19),22.2,96.5061469579,215.7943048444,16.7130882262,59761448.452059425,2026-03-29
3986735,(2020 BS),27.9,6.9912523225,15.6329154409,4.6781595637,52020205.51343732,2026-03-29
54017258,(2020 KK5),21.93,109.2835958696,244.36554919,25.5812613468,48367411.67005937,2026-03-29
54135784,(2021 GW4),29.47,3.3927743538,7.5864740875,8.6990351888,12972507.248108212,2026-03-29
54185132,(2021 PZ9),26.94,10.8781483356,24.3242791478,6.8429731932,31500046.609201305,2026-03-29
54212691,(2021 UX1),29.27,3.7201031034,8.3184034225,7.9424121693,40469551.66953772,2026-03-29
54243727,(2022 BC6),24.09,40.4161533403,90.3732662579,8.794089367,73808640.06510827,2026-03-29
54373709,(2023 MF1),24.9,27.8326768072,62.2357573367,20.0092070069,40772308.85610924,2026-03-29
54411557,(2023 WO3),24.7,30.5179232594,68.2401509401,18.443381132,51050657.948101,2026-03-29
54502144,(2024 WH12),26.93,10.928359587,24.436554919,6.7526979433,28765438.131503433,2026-03-29
54606974,(2026 FF6),25.005,26.5188676964,59.2979908555,19.8055679048,2954020.173036711,2026-03-29
54606975,(2026 FG6),27.438,8.6487825203,19.339265638,10.1855305296,702872.651979245,2026-03-29
